,match_id,comp_id,season_id,date,home_name,home_id,away_name,away_id,home_score,away_score,home_xg_ft,away_xg_ft,home_xg_1h,away_xg_1h,home_xg_2h,away_xg_2h,home_sot_ft,away_sot_ft,home_sot_1h,away_sot_1h,home_sot_2h,away_sot_2h,home_shots_ft,away_shots_ft,home_shots_1h,away_shots_1h,home_shots_2h,away_shots_2h,home_corners_ft,away_corners_ft,home_corners_1h,away_corners_1h,home_corners_2h,away_corners_2h,home_fouls_ft,away_fouls_ft,home_fouls_1h,away_fouls_1h,home_fouls_2h,away_fouls_2h,home_offsides_ft,away_offsides_ft,home_offsides_1h,away_offsides_1h,home_offsides_2h,away_offsides_2h,home_yellows_ft,away_yellows_ft,home_yellows_1h,away_yellows_1h,home_yellows_2h,away_yellows_2h,home_poss_ft,away_poss_ft,home_poss_1h,away_poss_1h,home_poss_2h,away_poss_2h,home_reds_ft,away_reds_ft,home_reds_1h,away_reds_1h,home_reds_2h,away_reds_2h
29,mt_583565928,comp_2954,sn_3001600,2025-03-24T17:00:00.000Z,Lithuania,tm_65365,Finland,tm_94162,2,2,0.83,2.62,,,,,6,4,5.0,3.0,1.0,1.0,11,13,8.0,5.0,3.0,8.0,2,5,1.0,3.0,1.0,2.0,17,15,,,,,1,2,0.0,1.0,1.0,1.0,3,2,1,2,2,0,44,56,46.0,54.0,42.0,58.0,0,0,0,0,0,0
30,mt_836828796,comp_2954,sn_3001600,2025-03-22T19:45:00.000Z,Czechia,tm_09485,Faroe Islands,tm_17071,2,1,3.05,0.32,,,,,7,3,5.0,2.0,2.0,1.0,16,5,12.0,3.0,4.0,2.0,6,3,6.0,1.0,0.0,2.0,12,9,,,,,3,0,3.0,0.0,0.0,0.0,1,3,0,1,1,2,68,32,72.0,28.0,64.0,36.0,0,0,0,0,0,0
31,mt_362353471,comp_2954,sn_3001600,2025-03-22T19:45:00.000Z,Wales,tm_94101,Kazakhstan,tm_94197,3,1,1.59,1.15,,,,,7,2,1.0,2.0,6.0,0.0,12,10,4.0,4.0,8.0,6.0,4,4,2.0,2.0,2.0,2.0,5,7,,,,,0,1,0.0,0.0,0.0,1.0,0,2,0,1,0,1,72,28,71.0,29.0,72.0,28.0,0,0,0,0,0,0
32,mt_625686043,comp_2954,sn_3001600,2025-03-22T19:45:00.000Z,Israel,tm_17398,Estonia,tm_70906,2,1,2.4,0.48,,,,,11,3,3.0,3.0,8.0,0.0,29,7,12.0,3.0,17.0,4.0,14,1,5.0,1.0,9.0,0.0,5,16,,,,,6,2,3.0,1.0,3.0,1.0,1,4,0,2,1,2,75,25,75.0,25.0,75.0,25.0,0,1,0,0,0,1
33,mt_401494266,comp_2954,sn_3001600,2025-03-22T17:00:00.000Z,Montenegro,tm_721624,Gibraltar,tm_0189159,3,1,3.52,1.36,,,,,10,2,5.0,1.0,5.0,1.0,25,7,11.0,4.0,14.0,3.0,7,5,4.0,3.0,3.0,2.0,20,12,,,,,3,3,1.0,3.0,2.0,0.0,3,2,0,0,3,2,66,34,68.0,32.0,65.0,35.0,0,0,0,0,0,0
34,mt_019070521,comp_2954,sn_3001600,2025-03-22T17:00:00.000Z,Moldova,tm_94208,Norway,tm_41500,0,5,1.29,3.12,,,,,4,8,1.0,5.0,3.0,3.0,10,24,4.0,13.0,6.0,11.0,6,6,2.0,4.0,4.0,2.0,10,9,,,,,2,0,0.0,0.0,2.0,0.0,1,1,0,0,1,1,31,69,28.0,72.0,33.0,67.0,0,0,0,0,0,0
35,mt_583565917,comp_2954,sn_3001600,2025-03-22T14:00:00.000Z,Liechtenstein,tm_17667,North Macedonia,tm_32834,0,3,0.23,2.64,,,,,1,9,1.0,5.0,0.0,4.0,5,17,3.0,9.0,2.0,8.0,0,7,0.0,3.0,0.0,4.0,12,7,,,,,2,6,1.0,4.0,1.0,2.0,3,1,2,1,1,0,26,74,25.0,75.0,27.0,73.0,0,0,0,0,0,0
36,mt_974909380,comp_2954,sn_3001600,2025-03-21T19:45:00.000Z,Malta,tm_53717,Finland,tm_94162,0,1,0.87,1.87,,,,,6,5,4.0,5.0,2.0,0.0,19,10,9.0,8.0,10.0,2.0,6,3,1.0,1.0,5.0,2.0,9,12,,,,,1,0,0.0,0.0,1.0,0.0,0,1,0,1,0,0,58,42,52.0,48.0,67.0,33.0,1,0,0,0,1,0
37,mt_258232152,comp_2954,sn_3001600,2025-03-21T19:45:00.000Z,Poland,tm_53264,Lithuania,tm_65365,1,0,1.9,0.49,,,,,7,2,3.0,1.0,4.0,1.0,24,8,11.0,3.0,13.0,5.0,11,1,6.0,0.0,5.0,1.0,14,18,,,,,0,0,,,,,1,1,0,0,1,1,62,38,62.0,38.0,62.0,38.0,0,0,0,0,0,0
38,mt_197141898,comp_2954,sn_3001600,2025-03-21T19:45:00.000Z,Andorra,tm_86059,Latvia,tm_65386,0,1,0.44,0.36,,,,,2,2,0.0,1.0,2.0,1.0,7,6,4.0,3.0,3.0,3.0,3,1,0.0,0.0,3.0,1.0,14,12,,,,,1,2,0.0,0.0,1.0,2.0,0,2,0,0,0,2,37,63,27.0,73.0,48.0,52.0,0,0,0,0,0,0
39,mt_740717640,comp_2954,sn_3001600,2025-03-21T19:45:00.000Z,England,tm_53273,Albania,tm_17513,2,0,1.81,0.0,,,,,6,0,4.0,0.0,2.0,0.0,12,3,7.0,2.0,5.0,1.0,4,1,3.0,1.0,1.0,0.0,9,7,,,,,2,2,0.0,1.0,2.0,1.0,0,1,0,1,0,0,74,26,79.0,21.0,70.0,30.0,0,0,0,0,0,0
40,mt_362353468,comp_2954,sn_3001600,2025-03-21T19:45:00.000Z,Romania,tm_32068,Bosnia & Herzegovina,tm_70240,0,1,1.3,0.96,,,,,3,1,0.0,1.0,3.0,0.0,15,5,8.0,3.0,7.0,2.0,5,1,1.0,0.0,4.0,1.0,14,25,,,,,0,3,0.0,2.0,0.0,1.0,5,3,1,1,4,2,66,34,55.0,45.0,77.0,23.0,0,0,0,0,0,0
41,mt_836828730,comp_2954,sn_3001600,2025-03-21T17:00:00.000Z,Cyprus,tm_94680,San Marino,tm_53436,2,0,2.81,0.29,,,,,11,2,4.0,2.0,7.0,0.0,26,5,8.0,4.0,18.0,1.0,7,2,3.0,1.0,4.0,1.0,14,17,,,,,2,1,1.0,1.0,1.0,0.0,0,2,0,0,0,2,70,30,69.0,31.0,70.0,30.0,0,0,0,0,0,0
42,mt_193097150,comp_2954,sn_270305,2022-06-05T16:00:00.000Z,Wales,tm_94101,Ukraine,tm_28630,1,0,0.0,0.0,,,,,4,9,2.0,5.0,2.0,4.0,10,22,5.0,8.0,5.0,14.0,4,7,2.0,5.0,2.0,2.0,7,7,,,,,2,1,1.0,1.0,1.0,0.0,2,2,2,1,0,1,32,68,37.0,63.0,28.0,72.0,0,0,0,0,0,0
43,mt_621258091,comp_2954,sn_270305,2022-06-01T18:45:00.000Z,Scotland,tm_41641,Ukraine,tm_28630,1,3,0.0,0.0,,,,,4,8,0.0,4.0,4.0,4.0,14,15,5.0,9.0,9.0,6.0,5,6,2.0,3.0,3.0,3.0,14,16,,,,,0,1,0.0,0.0,0.0,1.0,2,3,1,2,1,1,42,58,41.0,59.0,42.0,58.0,0,0,0,0,0,0
44,mt_360655225,comp_2954,sn_270305,2022-03-29T18:45:00.000Z,Poland,tm_53264,Sweden,tm_86978,2,0,0.0,0.0,,,,,8,6,1.0,3.0,7.0,3.0,10,12,3.0,6.0,7.0,6.0,8,7,2.0,2.0,6.0,5.0,11,15,,,,,3,2,2.0,0.0,1.0,2.0,4,2,1,0,3,2,39,61,43.0,57.0,33.0,67.0,0,0,0,0,0,0
45,mt_742411321,comp_2954,sn_270305,2022-03-29T18:45:00.000Z,Portugal,tm_09479,North Macedonia,tm_32834,2,0,0.0,0.0,,,,,3,0,1.0,0.0,2.0,0.0,11,3,7.0,2.0,4.0,1.0,7,3,3.0,2.0,4.0,1.0,11,12,,,,,1,0,1.0,0.0,0.0,0.0,1,2,0,0,1,2,64,36,69.0,31.0,59.0,41.0,0,0,0,0,0,0
46,mt_194843190,comp_2954,sn_270305,2022-03-24T19:45:00.000Z,Italy,tm_32805,North Macedonia,tm_32834,0,1,0.0,0.0,,,,,5,2,3.0,1.0,2.0,1.0,32,4,16.0,1.0,16.0,3.0,16,0,9.0,0.0,7.0,0.0,14,13,,,,,0,1,0.0,0.0,0.0,1.0,0,1,0,0,0,1,65,35,65.0,35.0,66.0,34.0,0,0,0,0,0,0
47,mt_741612743,comp_2954,sn_270305,2022-03-24T19:45:00.000Z,Sweden,tm_86978,Czechia,tm_09485,0,0,0.0,0.0,,,,,2,2,0.0,1.0,1.0,0.0,10,10,5.0,3.0,3.0,5.0,7,6,3.0,4.0,2.0,2.0,26,18,,,,,2,1,1.0,0.0,1.0,1.0,5,4,0,0,3,4,57,43,57.0,43.0,58.0,42.0,0,0,0,0,0,0
48,mt_365450360,comp_2954,sn_270305,2022-03-24T19:45:00.000Z,Portugal,tm_09479,Türkiye,tm_17049,3,1,0.0,0.0,,,,,8,5,4.0,3.0,4.0,2.0,16,12,8.0,6.0,8.0,6.0,2,1,1.0,1.0,1.0,0.0,14,14,,,,,4,2,3.0,1.0,1.0,1.0,2,4,1,1,1,3,60,40,62.0,38.0,57.0,43.0,0,0,0,0,0,0
49,mt_409295454,comp_2954,sn_270305,2022-03-24T19:45:00.000Z,Wales,tm_94101,Austria,tm_86533,2,1,0.0,0.0,,,,,7,4,4.0,1.0,3.0,3.0,14,16,6.0,6.0,8.0,10.0,3,6,2.0,2.0,1.0,4.0,7,15,,,,,2,2,0.0,2.0,2.0,0.0,2,2,0,1,2,1,34,66,38.0,62.0,31.0,69.0,0,0,0,0,0,0
